TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2020,1,3,18,0,19XX W 1ST AVE,Kitsilano,495202,5349723
Mischief,2020,1,4,18,0,19XX W 1ST AVE,Kitsilano,508660,5189443
Mischief,2008,7,22,18,0,19XX W 1ST AVE,Kitsilano,502714,5326363
Mischief,2012,7,22,18,0,19XX W 17TH AVE,Shaughnessy,502490,5266183
Mischief,2019,10,13,18,0,19XX W 13TH AVE,Kitsilano,503535,5363530
Mischief,2007,10,12,18,0,19XX W 1ST AVE,Kitsilano,490960,5147360
Break and Enter Commercial,2003,4,18,18,0,17XX W 7TH AVE,Fairview,494228,5368063
Break and Enter Commercial,2003,6,11,18,0,17XX W 7TH AVE,Fairview,507328,5307695
Break and Enter Commercial,2014,11,19,18,0,17XX W 7TH AVE,Fairview,496131,5385274
Break and Enter Commercial,2015,7,20,18,0,17XX W 7TH AVE,Fairview,497928,5115181
Break and Enter Commercial,2018,12,12,18,0,20XX COMOX ST,West End,509092,5447566
Break and Enter Commercial,2018,10,16,18,0,14XX CONNAUGHT DR,Shaughnessy,503116,5177831
Theft from Vehicle,2003,7,23,18,0,13XX W 47TH AVE,Oakridge,504419,5278117
Theft from Vehicle,2019,4,4,18,0,13XX W 26TH AVE,Shaughnessy,504036,5377131
Theft from Vehicle,2011,11,13,18,0,13XX W 49TH AVE,Oakridge,495823,5152064
Break and Enter Residential/Other,2004,8,19,18,0,11XX BEACH AVE,West End,506156,5166257
Theft from Vehicle,2005,1,6,18,0,13XX W 13TH AVE,Fairview,502811,5115226
Theft from Vehicle,2009,6,14,18,0,13XX W 14TH AVE,Fairview,490429,5017337
Theft from Vehicle,2004,6,11,18,0,13XX W 13TH AVE,Fairview,494579,5363888
Theft from Vehicle,2009,9,7,18,0,13XX W 13TH AVE,Fairview,490766,5268338
Theft from Vehicle,2005,8,31,18,0,13XX W 12TH AVE,Fairview,498171,5107009
Theft from Vehicle,2003,12,20,18,0,13XX W 11TH AVE,Fairview,499095,5441753
Theft from Vehicle,2004,9,30,18,0,13XX W 49TH AVE,Oakridge,490154,5355020
Theft from Vehicle,2003,5,1,18,0,13XX W 47TH AVE,Oakridge,492794,5337331
Theft from Vehicle,2004,3,26,18,0,13XX W 4TH AVE,Fairview,492975,5258887
Theft from Vehicle,2003,7,5,18,0,13XX W 10TH AVE,Fairview,505419,5173283
Theft from Vehicle,2003,4,27,18,0,13XX W 4TH AVE,Fairview,501637,5204393
Theft from Vehicle,2006,4,6,18,0,13XX W 4TH AVE,Fairview,495463,5097632
Theft from Vehicle,2003,1,10,18,0,13XX W 10TH AVE,Fairview,509789,5125577
Theft from Vehicle,2004,8,29,18,0,13XX W 15TH AVE,Fairview,502002,5239000
Theft from Vehicle,2005,5,16,18,0,13XX W 15TH AVE,Fairview,510211,5313940
Theft from Vehicle,2004,10,1,18,0,13XX W 13TH AVE,Fairview,496886,5341087
Theft from Vehicle,2004,1,13,18,0,13XX W 4TH AVE,Fairview,505527,5197612
Theft from Vehicle,2003,9,25,18,0,13XX W 12TH AVE,Fairview,499062,5258637
Theft from Vehicle,2010,2,17,18,0,13XX W 12TH AVE,Fairview,501876,5278663
Theft from Vehicle,2010,4,27,18,0,13XX W 11TH AVE,Fairview,500551,5121259
Theft from Vehicle,2004,9,15,18,0,13XX W 14TH AVE,Fairview,508775,5212153
Theft from Vehicle,2009,2,12,18,0,13XX W 11TH AVE,Fairview,496804,5081228
Theft from Vehicle,2009,3,8,18,0,13XX W 11TH AVE,Fairview,508625,5293035
Theft from Vehicle,2018,3,29,18,0,13XX W 11TH AVE,Fairview,505968,5312310
Theft from Vehicle,2005,2,16,18,0,13XX W 15TH AVE,Shaughnessy,493898,5082671
Theft from Vehicle,2006,2,27,18,0,13XX W 12TH AVE,Fairview,490875,5352527
Mischief,2007,5,8,18,0,10XX BEACH AVE,Central Business District,499564,5208691
Mischief,2007,2,15,18,0,10XX BEACH AVE,Central Business District,492253,5142132
Mischief,2009,12,26,18,0,10XX BROUGHTON ST,West End,505522,5274835
Theft from Vehicle,2011,12,18,18,0,13XX THURLOW ST,West End,492098,5289143
Break and Enter Commercial,2018,2,28,18,0,10XX BURNABY ST,West End,502613,5100182
Break and Enter Commercial,2007,10,1,18,0,10XX BURNABY ST,West End,505844,5050302
Theft from Vehicle,2007,6,12,18,0,13XX ROBSON ST,West End,496345,5208423
Theft from Vehicle,2007,8,15,18,0,13XX ROBSON ST,West End,508075,5046284
Theft from Vehicle,2003,5,24,18,0,13XX ROBSON ST,West End,509939,5244649
Theft from Vehicle,2006,9,8,18,0,13XX ROBSON ST,West End,507361,5144268
Theft from Vehicle,2007,2,5,18,0,13XX ROBSON ST,West End,508144,5138751
Theft from Vehicle,2012,8,4,18,0,13XX ROBSON ST,West End,490891,5298131
Theft from Vehicle,2016,11,3,18,0,13XX ROBSON ST,West End,506961,5230619
Theft from Vehicle,2018,2,14,18,0,13XX ROBSON ST,West End,498569,5214587
Break and Enter Residential/Other,2005,12,21,18,0,11XX BURRARD ST,Central Business District,508850,5344027
Break and Enter Residential/Other,2017,7,6,18,0,11XX BARCLAY ST,West End,503100,5411277
Break and Enter Residential/Other,2007,10,24,18,0,11XX BARCLAY ST,West End,501742,5040243
Break and Enter Residential/Other,2008,2,28,18,0,11XX BARCLAY ST,West End,503353,5161117
Mischief,2006,10,5,18,0,10XX BURRARD ST,West End,503655,5317804
Mischief,2003,11,22,18,0,10XX BURRARD ST,West End,507129,5291124
Mischief,2003,7,27,18,0,10XX BARCLAY ST,West End,492539,5453574
Mischief,2008,9,23,18,0,10XX BARCLAY ST,West End,495884,5370142
Other Theft,2003,3,15,18,0,12XX RICHARDS ST,Central Business District,503866,5458419
Other Theft,2007,2,9,18,0,12XX RICHARDS ST,Central Business District,502858,5046081
Break and Enter Commercial,2005,2,8,18,0,10XX ALBERNI ST,West End,504644,5110800
Break and Enter Commercial,2018,6,16,18,0,10XX ALBERNI ST,West End,491413,5187748
Break and Enter Commercial,2007,5,6,18,0,10XX ALBERNI ST,West End,490165,5445736
Break and Enter Commercial,2017,9,2,18,0,6X SMITHE ST,Central Business District,504890,5011714
Theft of Vehicle,2007,11,7,18,0,DUNSMUIR ST / RICHARDS ST,Central Business District,493966,5329191
Break and Enter Commercial,2004,10,8,18,0,20XX MANITOBA ST,Mount Pleasant,507293,5277222
Break and Enter Commercial,2007,2,2,18,0,6X E 5TH AVE,Mount Pleasant,501601,5155573
Break and Enter Commercial,2007,6,17,18,0,6X E 3RD AVE,Mount Pleasant,505226,5249830
Break and Enter Commercial,2004,7,2,18,0,6X E 2ND AVE,Mount Pleasant,497214,5344682
Theft of Bicycle,2004,4,22,18,0,E 2ND AVE / QUEBEC ST,Mount Pleasant,490918,5096076
Theft of Vehicle,2018,10,10,18,0,E 16TH AVE / MAIN ST,Mount Pleasant,492810,5137787
Theft of Vehicle,2014,7,1,18,0,E 15TH AVE / MAIN ST,Mount Pleasant,491766,5165433
Theft of Bicycle,2009,8,6,18,0,E BROADWAY AVE / MAIN ST,Mount Pleasant,502342,5206339
Theft of Vehicle,2006,9,15,18,0,E 10TH AVE / MAIN ST,Mount Pleasant,500974,5130656
Theft of Bicycle,2014,8,28,18,0,E 7TH AVE / MAIN ST,Mount Pleasant,505936,5351366
Theft of Bicycle,2019,6,14,18,0,E 5TH AVE / MAIN ST,Mount Pleasant,491151,5065058
Other Theft,2007,7,4,18,0,13XX MAIN ST,Central Business District,490120,5166207
Break and Enter Commercial,2007,9,30,18,0,2XX E GEORGIA ST,Strathcona,507798,5040522
Break and Enter Commercial,2018,4,5,18,0,2XX E GEORGIA ST,Strathcona,495616,5063102
Break and Enter Commercial,2004,6,1,18,0,2XX E GEORGIA ST,Strathcona,498356,5022803
Break and Enter Commercial,2013,3,8,18,0,2XX E GEORGIA ST,Strathcona,499599,5321276
Break and Enter Commercial,2013,3,9,18,0,2XX E GEORGIA ST,Strathcona,497742,5301930
Theft of Vehicle,2016,1,22,18,0,E 12TH AVE / SOPHIA ST,Mount Pleasant,510230,5389071
Theft of Vehicle,2014,4,11,18,0,E 13TH AVE / ST GEORGE ST,Mount Pleasant,509181,5049398
Theft of Bicycle,2015,9,2,18,0,E 8TH AVE / FRASER ST,Mount Pleasant,496419,5413430
Theft of Vehicle,2008,6,1,18,0,E 17TH AVE / WINDSOR ST,Kensington-Cedar Cottage,503822,5257142
Theft of Vehicle,2020,1,31,18,0,E 11TH AVE / WINDSOR ST,Mount Pleasant,506943,5442988
Break and Enter Residential/Other,2014,2,16,18,0,11XX E 59TH AVE,Sunset,493577,5422025
Break and Enter Residential/Other,2019,5,16,18,0,11XX E 11TH AVE,Mount Pleasant,498331,5163450
Break and Enter Residential/Other,2010,10,22,18,0,11XX E 33RD AVE,Kensington-Cedar Cottage,502640,5069577
Break and Enter Residential/Other,2017,4,27,18,0,11XX E BROADWAY AVE,Mount Pleasant,503227,5033040
Break and Enter Residential/Other,2015,11,11,18,0,11XX E 13TH AVE,Mount Pleasant,493766,5124008
Break and Enter Residential/Other,2011,8,12,18,0,11XX E BROADWAY AVE,Mount Pleasant,501921,5442120
Break and Enter Residential/Other,2017,11,14,18,0,11XX E BROADWAY AVE,Mount Pleasant,496944,5110782
Break and Enter Residential/Other,2006,1,13,18,0,11XX E PENDER ST,Strathcona,501435,5453749
Theft of Bicycle,2019,9,21,18,0,E HASTINGS ST / VERNON DR,Strathcona,506572,5139868
Theft from Vehicle,2013,10,25,18,0,13XX VERNON DR,Strathcona,493383,5396699
Break and Enter Commercial,2019,5,30,18,0,14XX E 57TH AVE,Victoria-Fraserview,508040,5442713
Other Theft,2015,6,9,18,0,14XX E 41ST AVE,Kensington-Cedar Cottage,490277,5368802
Break and Enter Commercial,2010,4,1,18,0,14XX E HASTINGS ST,Grandview-Woodland,492830,5267472
Theft of Vehicle,2017,3,25,18,0,E 1ST AVE / WOODLAND DR,Grandview-Woodland,500269,5097365
Break and Enter Commercial,2010,3,6,18,0,20XX COMMERCIAL DR,Grandview-Woodland,497946,5404099
Theft from Vehicle,2006,12,5,18,0,13XX SALSBURY DR,Grandview-Woodland,499541,5020401
Theft from Vehicle,2013,6,6,18,0,13XX SALSBURY DR,Grandview-Woodland,498280,5101790
Break and Enter Commercial,2005,3,26,18,0,69XX VICTORIA DR,Victoria-Fraserview,510207,5124160
Theft of Bicycle,2013,6,25,18,0,E 7TH AVE / VICTORIA DR,Grandview-Woodland,493179,5019439
Break and Enter Commercial,2005,3,19,18,0,69XX VICTORIA DR,Victoria-Fraserview,507025,5334984
Theft from Vehicle,2003,8,13,18,0,13XX VICTORIA DR,Grandview-Woodland,504082,5216135
Theft from Vehicle,2005,11,14,18,0,13XX VICTORIA DR,Grandview-Woodland,499185,5084719
Theft of Bicycle,2016,8,3,18,0,E 26TH AVE / VICTORIA DR,Kensington-Cedar Cottage,503003,5370689
Break and Enter Commercial,2008,9,10,18,0,20XX E 37TH AVE,Kensington-Cedar Cottage,498275,5018350
Break and Enter Commercial,2012,9,5,18,0,20XX E KENT S AVE,Victoria-Fraserview,501235,5355042
Break and Enter Commercial,2007,1,25,18,0,20XX KINGSWAY AVE,Kensington-Cedar Cottage,505762,5172427
Break and Enter Commercial,2010,9,1,18,0,20XX E HASTINGS ST,Grandview-Woodland,492460,5133903
Break and Enter Commercial,2013,1,31,18,0,20XX E HASTINGS ST,Grandview-Woodland,491447,5354044
Break and Enter Commercial,2004,7,19,18,0,20XX DUNDAS ST,Grandview-Woodland,501927,5035563
Theft of Vehicle,2019,9,13,18,0,E 1ST AVE / GARDEN DR,Grandview-Woodland,504077,5017132
Theft of Bicycle,2005,8,25,18,0,E BROADWAY AVE / SLOCAN ST,Hastings-Sunrise,503455,5240801
Theft of Vehicle,2006,6,2,18,0,E 12TH AVE / RENFREW ST,Renfrew-Collingwood,508608,5202229
Theft of Vehicle,2019,1,26,18,0,E 12TH AVE / RENFREW ST,Renfrew-Collingwood,498125,5429860
Theft of Vehicle,2011,9,12,18,0,E 11TH AVE / SKEENA ST,Renfrew-Collingwood,490908,5286920
Break and Enter Commercial,2005,8,28,19,59,17XX W 8TH AVE,Fairview,493021,5204566
Other Theft,2014,10,4,19,59,12XX GRANVILLE ST,Central Business District,500827,5187517
Other Theft,2003,1,7,19,59,12XX RICHARDS ST,Central Business District,505209,5215790
Theft of Bicycle,2018,6,19,19,59,E GEORGIA ST / MAIN ST,Strathcona,506866,5172871
Vehicle Collision or Pedestrian Struck (with Injury),2016,6,27,19,59,ADANAC ST / RENFREW ST,Hastings-Sunrise,503320,5273965
Break and Enter Residential/Other,2003,7,15,19,58,11XX BURRARD ST,Central Business District,502775,5384278
Other Theft,2003,3,24,19,58,12XX GRANVILLE ST,Central Business District,492492,5396583
Other Theft,2013,9,14,19,58,12XX RICHARDS ST,Central Business District,509198,5369911
Break and Enter Commercial,2007,2,19,19,58,20XX HARRISON DR,Victoria-Fraserview,509112,5207324
Vehicle Collision or Pedestrian Struck (with Fatality),2017,5,28,19,57,W 4TH AVE / ANDERSON ST,Fairview,509467,5442146
Other Theft,2007,8,30,19,57,13XX HOWE ST,Central Business District,497266,5059564
Mischief,2019,9,15,19,57,10XX BURRARD ST,Central Business District,507095,5181406
Vehicle Collision or Pedestrian Struck (with Injury),2013,8,19,19,56,ADANAC ST / LAKEWOOD DR,Grandview-Woodland,490081,5437894
Vehicle Collision or Pedestrian Struck (with Injury),2007,1,2,19,55,9XX BLOCK SW MARINE DR,Marpole,510122,5185941
Other Theft,2005,5,6,19,55,12XX ROBSON ST,West End,504513,5107554
Other Theft,2009,9,27,19,55,12XX SEYMOUR ST,Central Business District,506994,5318768
Other Theft,2012,10,31,19,55,12XX SEYMOUR ST,Central Business District,498193,5434838
Vehicle Collision or Pedestrian Struck (with Fatality),2008,7,11,19,55,VICTORIA DR / E HASTINGS ST,Grandview-Woodland,502761,5068225
Break and Enter Commercial,2003,2,23,19,54,14XX CREEKSIDE DR,Fairview,510275,5396266
Other Theft,2011,5,31,19,54,12XX GRANVILLE ST,Central Business District,493294,5187765
Mischief,2005,10,15,19,54,10XX BURRARD ST,Central Business District,493908,5184218
Other Theft,2012,8,23,19,54,12XX SEYMOUR ST,Central Business District,495115,5276632
Other Theft,2012,12,15,19,54,12XX SEYMOUR ST,Central Business District,491589,5458051
Mischief,2019,9,30,19,53,10XX BURRARD ST,West End,494179,5216937
Break and Enter Commercial,2012,12,17,19,53,20XX E HASTINGS ST,Grandview-Woodland,492429,5265992
Vehicle Collision or Pedestrian Struck (with Injury),2015,8,2,19,52,9XX BLOCK BEACH AVE,Central Business District,511103,5242862
Other Theft,2017,9,6,19,52,13XX ROBSON ST,West End,507720,5446002
Other Theft,2010,11,21,19,52,12XX SEYMOUR ST,Central Business District,509346,5149346
Other Theft,2018,3,30,19,52,12XX RICHARDS ST,Central Business District,495150,5068452
Mischief,2005,9,10,19,52,10XX BOUNDARY RD,Hastings-Sunrise,508323,5172443
Other Theft,2019,3,11,19,51,12XX RICHARDS ST,Central Business District,510203,5316524
Vehicle Collision or Pedestrian Struck (with Fatality),2014,12,10,19,51,2XX BLOCK MAIN ST,Central Business District,490077,5096394
Vehicle Collision or Pedestrian Struck (with Injury),2019,11,6,19,51,8XX BLOCK SE MARINE DR,Sunset,491566,5166482
Theft from Vehicle,2006,9,1,19,50,13XX ROBSON ST,West End,503830,5037945
Other Theft,2015,7,17,19,50,12XX SEYMOUR ST,Central Business District,496437,5281134
Other Theft,2015,9,7,19,50,12XX SEYMOUR ST,Central Business District,503013,5346469
Other Theft,2004,2,12,19,50,12XX RICHARDS ST,Central Business District,508026,5226494
Other Theft,2004,5,7,19,50,12XX RICHARDS ST,Central Business District,496540,5124424
Other Theft,2012,8,21,19,50,13XX COMMERCIAL DR,Grandview-Woodland,508056,5335044
Theft of Bicycle,2015,9,10,19,49,E 1ST AVE / MAIN ST,Mount Pleasant,507626,5201092
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,5,19,48,ADERA ST / W 41ST AVE,Kerrisdale,501968,5274561
Vehicle Collision or Pedestrian Struck (with Injury),2004,12,31,19,48,9XX BLOCK NELSON ST,Central Business District,492233,5272535
Vehicle Collision or Pedestrian Struck (with Injury),2012,12,2,19,48,9XX W 10TH AVE,Fairview,507771,5239061
Theft of Bicycle,2019,4,14,19,47,E 2ND AVE / QUEBEC ST,Mount Pleasant,503424,5189259
Break and Enter Commercial,2010,1,5,19,47,2XX E BROADWAY AVE,Mount Pleasant,495124,5366973
Other Theft,2018,4,10,19,47,13XX E BROADWAY AVE,Kensington-Cedar Cottage,507120,5260664
Theft of Vehicle,2003,12,17,19,46,E 12TH AVE / MAIN ST,Mount Pleasant,493867,5410685
Theft from Vehicle,2010,4,30,19,45,13XX W 4TH AVE,Fairview,493457,5181331
Theft from Vehicle,2006,6,1,19,45,13XX SW MARINE DR,Marpole,499650,5291916
Theft from Vehicle,2003,10,12,19,45,13XX W 12TH AVE,Fairview,510542,5121408
Other Theft,2004,11,16,19,45,12XX RICHARDS ST,Central Business District,493851,5260473
Other Theft,2012,7,9,19,45,12XX E HASTINGS ST,Strathcona,509006,5045149
Theft of Vehicle,2009,3,2,19,45,E 14TH AVE / KASLO ST,Renfrew-Collingwood,495819,5370082
Other Theft,2008,10,17,19,44,12XX GRANVILLE ST,Central Business District,506786,5041642
Vehicle Collision or Pedestrian Struck (with Injury),2006,2,26,19,44,8XX BLOCK THURLOW ST,West End,499679,5113653
Other Theft,2006,3,3,19,44,12XX RICHARDS ST,Central Business District,509478,5111925
Vehicle Collision or Pedestrian Struck (with Fatality),2015,1,3,19,44,63XX BLOCK ELLIOTT ST,Victoria-Fraserview,510203,5160688
Theft of Vehicle,2016,10,2,19,43,DUNSMUIR ST / RICHARDS ST,Central Business District,509194,5343299
Other Theft,2007,3,20,19,43,13XX E 41ST AVE,Sunset,491106,5213777
Other Theft,2014,8,23,19,43,14XX E HASTINGS ST,Grandview-Woodland,502412,5020118
Other Theft,2017,8,17,19,42,12XX SEYMOUR ST,Central Business District,492383,5016782
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,27,19,42,ABBOTT ST / W HASTINGS ST,Central Business District,508880,5359172
Other Theft,2011,11,1,19,42,13XX MAIN ST,Central Business District,508777,5158390
Vehicle Collision or Pedestrian Struck (with Fatality),2017,9,17,19,42,E 12TH AVE / COMMERCIAL DR,Kensington-Cedar Cottage,506608,5001162
Vehicle Collision or Pedestrian Struck (with Fatality),2005,12,21,19,42,34XX BLOCK SE MARINE DR,Killarney,493137,5305774
Vehicle Collision or Pedestrian Struck (with Injury),2012,5,21,19,41,9XX BLOCK DAVIE ST,Central Business District,491494,5173167
Theft from Vehicle,2006,6,1,19,40,13XX SW MARINE DR,Marpole,500921,5260749
Theft from Vehicle,2007,12,26,19,40,13XX ROBSON ST,West End,508729,5237888
Other Theft,2009,12,27,19,40,12XX SEYMOUR ST,Central Business District,505527,5224932
Other Theft,2015,1,20,19,40,12XX SEYMOUR ST,Central Business District,505496,5249795
Other Theft,2015,3,3,19,40,12XX SEYMOUR ST,Central Business District,508735,5357270
Other Theft,2015,4,14,19,40,12XX SEYMOUR ST,Central Business District,496692,5142667
Other Theft,2003,7,17,19,40,12XX RICHARDS ST,Central Business District,499311,5069439
Other Theft,2009,8,6,19,40,12XX RICHARDS ST,Central Business District,498756,5284979
Other Theft,2019,6,24,19,40,12XX RICHARDS ST,Central Business District,493704,5066696
Other Theft,2017,7,3,19,40,12XX RICHARDS ST,Central Business District,494079,5376482
Vehicle Collision or Pedestrian Struck (with Injury),2005,9,3,19,39,ABBOTT ST / W HASTINGS ST,Central Business District,506081,5324868
Break and Enter Residential/Other,2016,1,30,19,39,11XX E PENDER ST,Strathcona,505745,5392140
Theft from Vehicle,2016,12,10,19,38,13XX W 11TH AVE,Fairview,490560,5186644
Break and Enter Residential/Other,2004,10,12,19,37,11XX BARCLAY ST,West End,503516,5278271
Other Theft,2018,11,16,19,37,12XX SEYMOUR ST,Central Business District,506327,5350542
Other Theft,2016,4,29,19,36,13XX W BROADWAY AVE,Fairview,501217,5397958
Vehicle Collision or Pedestrian Struck (with Injury),2016,7,16,19,36,ALDER CRSS / W 6TH AVE,Fairview,494586,5016873
Other Theft,2015,3,24,19,36,12XX THURLOW ST,West End,505813,5460017
Other Theft,2015,2,17,19,36,12XX RICHARDS ST,Central Business District,508951,5072497
Other Theft,2010,12,7,19,36,12XX W PENDER ST,Central Business District,499266,5043783
Other Theft,2012,4,22,19,35,13XX ROBSON ST,West End,502662,5213018
Other Theft,2009,11,10,19,35,12XX SEYMOUR ST,Central Business District,493281,5356232
Other Theft,2003,1,23,19,35,12XX RICHARDS ST,Central Business District,495655,5272738
Vehicle Collision or Pedestrian Struck (with Injury),2013,5,24,19,35,9XX BLOCK E 54TH AVE,Sunset,505294,5163750
Vehicle Collision or Pedestrian Struck (with Fatality),2006,2,3,19,35,E 55TH AVE / KERR ST,Killarney,493555,5091892
Vehicle Collision or Pedestrian Struck (with Fatality),2011,6,20,19,34,GRANVILLE ST / NANTON AVE,Shaughnessy,502308,5377996
Theft of Bicycle,2007,2,4,19,34,E HASTINGS ST / HAWKS AVE,Strathcona,491235,5249420
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,24,19,33,9XX BLOCK W GEORGIA ST,Central Business District,494860,5094017
Other Theft,2017,11,28,19,31,13XX W BROADWAY AVE,Fairview,499248,5296787
Other Theft,2006,6,19,19,31,12XX RICHARDS ST,Central Business District,504909,5443061
Break and Enter Commercial,2012,8,23,19,31,6X KEEFER PL,Central Business District,491623,5086462
Other Theft,2018,2,8,19,31,14XX E 41ST AVE,Kensington-Cedar Cottage,509563,5002247
Mischief,2005,3,28,19,30,19XX W 4TH AVE,Kitsilano,491884,5019353
Mischief,2019,2,18,19,30,19XX W 2ND AVE,Kitsilano,504883,5313767
Break and Enter Commercial,2010,5,27,19,30,17XX W 8TH AVE,Fairview,498831,5287592
Break and Enter Commercial,2012,10,16,19,30,20XX HARO ST,West End,505286,5284519
Theft from Vehicle,2006,6,1,19,30,13XX SW MARINE DR,Marpole,499396,5340576
Mischief,2007,5,8,19,30,10XX BIDWELL ST,West End,505171,5042449
Break and Enter Residential/Other,2011,2,28,19,30,11XX BEACH AVE,West End,502411,5195644
Theft from Vehicle,2006,5,27,19,30,13XX SW MARINE DR,Marpole,500353,5090869
Theft from Vehicle,2007,9,11,19,30,13XX W 13TH AVE,Fairview,509736,5282539
Theft from Vehicle,2004,4,4,19,30,13XX W 4TH AVE,Fairview,503217,5313249
Theft from Vehicle,2015,4,6,19,30,13XX W 4TH AVE,Fairview,508507,5456484
Mischief,2006,11,10,19,30,10XX BEACH AVE,West End,499155,5027304
Theft from Vehicle,2009,2,15,19,30,13XX W 11TH AVE,Fairview,504759,5199849
Mischief,2015,3,22,19,30,10XX BEACH AVE,West End,498071,5376831
Theft from Vehicle,2006,2,27,19,30,13XX W 12TH AVE,Fairview,502209,5042860
Break and Enter Residential/Other,2003,9,1,19,30,11XX BURNABY ST,West End,505574,5293935
Break and Enter Residential/Other,2007,1,20,19,30,11XX BURNABY ST,West End,504639,5030073
Theft from Vehicle,2018,6,28,19,30,13XX THURLOW ST,West End,506024,5197392
Break and Enter Residential/Other,2010,1,23,19,30,11XX CONNAUGHT DR,Shaughnessy,492421,5242497
Break and Enter Residential/Other,2016,11,17,19,30,10XX WOLFE AVE,Shaughnessy,500786,5053693
Theft from Vehicle,2008,2,18,19,30,13XX ROBSON ST,West End,503060,5046920
Theft from Vehicle,2003,10,19,19,30,13XX ROBSON ST,West End,494700,5280067
Theft from Vehicle,2004,1,25,19,30,13XX ROBSON ST,West End,494398,5405305
Theft from Vehicle,2004,1,28,19,30,13XX ROBSON ST,West End,493544,5308931
Theft from Vehicle,2008,3,18,19,30,13XX ROBSON ST,West End,500894,5391692
Break and Enter Residential/Other,2015,11,14,19,30,10XX WOLFE AVE,Shaughnessy,505519,5268612
Other Theft,2015,6,4,19,30,12XX GRANVILLE ST,Central Business District,503882,5306389
Theft from Vehicle,2010,2,5,19,30,13XX SEYMOUR ST,Central Business District,501010,5344850
Vehicle Collision or Pedestrian Struck (with Injury),2006,8,23,19,30,9XX BLOCK W KING EDWARD AVE,South Cambie,498471,5222796
Other Theft,2004,5,2,19,30,12XX RICHARDS ST,Central Business District,506520,5114396
Other Theft,2005,4,21,19,30,12XX RICHARDS ST,Central Business District,490438,5044990
Other Theft,2011,12,3,19,30,12XX W PENDER ST,Central Business District,491761,5294853
Mischief,2015,1,23,19,30,10XX ALBERNI ST,West End,500215,5381876
Theft of Vehicle,2011,7,16,19,30,DUNSMUIR ST / MELVILLE ST,Central Business District,496088,5344822
Theft of Vehicle,2006,1,28,19,30,DUNSMUIR ST / RICHARDS ST,Central Business District,494548,5277583
Vehicle Collision or Pedestrian Struck (with Injury),2006,5,30,19,30,ALBERTA ST / W 8TH AVE,Mount Pleasant,499477,5334528
Theft of Bicycle,2017,5,31,19,30,E 32ND AVE / MAIN ST,Riley Park,503807,5044992
Theft of Bicycle,2012,7,20,19,30,E BROADWAY AVE / MAIN ST,Mount Pleasant,501729,5376959
Theft of Bicycle,2007,9,19,19,30,E 23RD AVE / MAIN ST,Riley Park,491378,5096410
Theft of Bicycle,2016,9,12,19,30,E 22ND AVE / MAIN ST,Riley Park,504226,5250088
Theft of Bicycle,2007,5,29,19,30,E 2ND AVE / MAIN ST,Mount Pleasant,499220,5455333
Other Theft,2017,6,19,19,30,12XX MAIN ST,Central Business District,493881,5362743
Theft of Bicycle,2014,6,7,19,30,E PENDER ST / MAIN ST,Strathcona,501371,5229509
Theft of Bicycle,2010,1,10,19,30,E HASTINGS ST / MAIN ST,Strathcona,508584,5102227
Break and Enter Commercial,2005,9,15,19,30,2XX E GEORGIA ST,Strathcona,498555,5312804
Break and Enter Commercial,2004,3,27,19,30,66XX FRASER ST,Sunset,497796,5037238
Theft of Bicycle,2012,6,6,19,30,E HASTINGS ST / GLEN DR,Strathcona,506096,5299221
Break and Enter Residential/Other,2008,8,3,19,30,11XX E 12TH AVE,Mount Pleasant,508350,5300275
Break and Enter Residential/Other,2014,11,27,19,30,11XX E BROADWAY AVE,Mount Pleasant,509351,5041515
Break and Enter Residential/Other,2014,5,8,19,30,11XX E GEORGIA ST,Strathcona,508177,5199863
Break and Enter Commercial,2014,8,2,19,30,20XX COMMERCIAL DR,Grandview-Woodland,498103,5324973
Break and Enter Commercial,2005,6,30,19,30,66XX VICTORIA DR,Victoria-Fraserview,496795,5356750
Break and Enter Commercial,2003,6,18,19,30,66XX VICTORIA DR,Victoria-Fraserview,507935,5003873
Theft from Vehicle,2003,5,9,19,30,13XX VICTORIA DR,Grandview-Woodland,499391,5249707
Theft of Vehicle,2017,7,1,19,30,E 23RD AVE / KAMLOOPS ST,Renfrew-Collingwood,498084,5115245
Theft of Vehicle,2017,3,12,19,30,E 17TH AVE / SLOCAN ST,Renfrew-Collingwood,502637,5163280
Theft of Vehicle,2009,9,18,19,30,E 25TH AVE / WINDERMERE ST,Renfrew-Collingwood,499022,5075496
Vehicle Collision or Pedestrian Struck (with Fatality),2003,3,20,19,29,W 4TH AVE / HIGHBURY ST,West Point Grey,506306,5037706
Theft from Vehicle,2012,1,5,19,29,13XX ROBSON ST,West End,491527,5296790
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,23,19,29,8XX BLOCK GRANVILLE ST,Central Business District,495877,5377345
Vehicle Collision or Pedestrian Struck (with Injury),2009,2,15,19,28,ALBERNI ST / DENMAN ST,West End,498562,5324944
Other Theft,2006,2,27,19,28,12XX HORNBY ST,Central Business District,497215,5187065
